,sbj_id,id_learning_sen,target_order,target,n_of_fix,tot_dur_target,single_fix,gaze_dur_target
145,1,2hf8,10,zudulondo:,0,0,,0
146,1,12lf7,6,pubbanasio,0,0,,0
147,1,15lf8,9,cridolinna,1,250,250.0,250
148,1,11hf1,9,mernidallo,0,0,,0
149,1,16sf2,8,cevecismo,0,0,,0
150,1,9lf8,7,cettobiaba:,1,171,171.0,171
151,1,16sf9,9,cevecismo,0,0,,0
152,1,1sf3,8,rugobenza,1,225,225.0,225
153,1,4sf2,8,ceburizia,0,0,,0
154,1,15lf4,10,cridolinna,1,253,253.0,253
155,1,18lf3,10,pobedepre,1,260,260.0,260
156,1,12lf1,7,pubbanasio,1,259,259.0,259
157,1,10sf6,8,cribotista:,1,252,252.0,252
158,1,14hf10,10,slibadosto,3,624,,400
159,1,7sf9,9,clivuniere,0,0,,0
160,1,9lf3,8,cettobiaba,2,382,,382
161,1,17hf1,9,vugipogno,1,215,215.0,215
162,1,1sf1,9,"rugobenza,",0,0,,0
163,1,10sf2,9,cribotista,0,0,,0
164,1,10sf4,10,cribotista,0,0,,0
165,1,4sf3,9,ceburizia,1,221,221.0,221
166,1,12lf3,8,pubbanasio,1,289,289.0,289
167,1,9lf9,9,"cettobiaba,",0,0,,0
168,1,7sf6,10,clivuniere,1,154,154.0,154
169,1,12lf6,9,pubbanasio,1,166,166.0,166
170,1,16sf8,10,cevecismo:,2,378,153.0,153
171,1,9lf6,10,"cettobiaba,",1,291,291.0,291
172,1,11hf6,10,mernidallo,0,0,,0
173,1,3lf4,10,mudegespa,0,0,,0
174,1,12lf2,10,pubbanasio,1,242,242.0,242
175,1,4sf8,10,ceburizia,1,314,314.0,314
176,1,6lf4,10,tobufolmo,0,0,,0
177,1,13sf3,10,dorguvario,1,274,274.0,274
178,1,17hf6,10,vugipogno,0,0,,0
179,1,1sf8,10,rugobenza:,0,0,,0
