,sbj_id,id_rmt,rot,target_complexity,simple_id,target,distractor_type,id,ans,rt
0,43,3corr,1.0,3.0,mudegespa,lf,corr,3,l,0.9727339000000939
1,43,1rec,1.0,19.0,rugobondo,,rec,1,l,3.952767599999788
2,43,6lf,,,zudulebo,,tsue,6,s,1.28040510000028
3,43,10suffUsTe,,,gabivizia,,uste,10,s,1.1681017999999312
4,43,10corr,1.0,10.0,cribotista,sf,corr,10,l,1.0558138999999755
5,43,12rec,1.0,30.0,pubbanista,,rec,12,s,1.516822499999762
6,43,6rec,1.0,24.0,tobufizia,,rec,6,s,1.6108228000002782
7,43,32hf,,,mernidusto,,tsue,32,s,1.4220687000001817
8,43,5lfUsTe,,,rabegespa,,uste,5,s,3.13282369999979
9,43,29suffUsTe,,,necibenza,,uste,29,s,1.1342051999999967
10,43,7corr,1.0,7.0,clivuniere,sf,corr,7,l,0.721286300000429
11,43,26hfUsTe,,,zicavenso,,uste,26,s,0.8291567000001123
12,43,32suff,,,mernidoso,,tsue,32,s,0.863808500000232
13,43,14rec,1.0,32.0,slobadinna,,rec,14,s,0.9932678999998643
14,43,35lf,,,dorguverpe,,tsue,35,s,1.8058000999999422
15,43,2corr,1.0,2.0,zudulondo,hf,corr,2,l,0.8937268999998196
16,43,15rec,1.0,33.0,cridolario,,rec,15,l,1.0842389000004005
17,43,10rec,1.0,28.0,cribotallo,,rec,10,s,3.167393400000037
18,43,6suff,,,zuduliera,,tsue,6,s,0.8479467000001932
19,43,32hfUsTe,,,neciballo,,uste,32,s,0.7177378999999746
20,43,35suff,,,dorguvorio,,tsue,35,s,1.2807029999999031
21,43,18rec,1.0,36.0,pobedismo,,rec,18,s,1.9691539000000375
22,43,7hfUsTe,,,rabegento,,uste,7,s,1.2745117999998001
23,43,8rec,1.0,26.0,vicraziaba,,rec,8,s,0.8599234999996952
24,43,12corr,1.0,12.0,pubbanasio,lf,corr,12,l,0.9252073000002383
25,43,4corr,1.0,4.0,ceburizia,sf,corr,4,l,2.4627940999998827
26,43,48suffUsTe,,,pitucista,,uste,48,s,0.9093192000000272
27,43,8corr,1.0,8.0,vicrazento,hf,corr,8,l,0.9097888000001149
28,43,7rec,1.0,25.0,clivunento,,rec,7,s,1.2941162000001896
29,43,5corr,1.0,5.0,vutuvenso,hf,corr,5,s,2.095828700000311
30,43,17rec,1.0,35.0,vugipepre,,rec,17,s,0.892540100000133
31,43,6corr,1.0,6.0,tobufolmo,lf,corr,6,s,0.8976038999999219
32,43,17corr,1.0,17.0,vugipogno,hf,corr,17,l,1.3930428999997275
33,43,9rec,1.0,27.0,cettobiere,,rec,9,s,1.7606128000002172
34,43,16corr,1.0,16.0,cevecismo,sf,corr,16,l,0.7788445999999567
35,43,13rec,1.0,31.0,dorguvosto,,rec,13,s,1.4239354000001185
36,43,13corr,1.0,13.0,dorguvario,sf,corr,13,l,0.8779526000002988
37,43,2rec,1.0,20.0,zudulespa,,rec,2,s,0.785251899999821
38,43,37suff,,,slibadico,,tsue,37,s,0.6855941999997412
39,43,9corr,1.0,9.0,cettobiaba,lf,corr,9,l,0.9255108999996082
40,43,38lfUsTe,,,sacupolmo,,uste,38,s,0.895904999999857
41,43,11rec,1.0,29.0,mernidasio,,rec,11,s,0.8944503000002442
42,43,6hf,,,zuduloppo,,tsue,6,s,0.715803699999924
43,43,28lfUsTe,,,zicavasio,,uste,28,s,0.686598899999808
44,43,15suffUsTe,,,fodaviere,,uste,15,s,0.5566979000000174
45,43,17hfUsTe,,,rogipondo,,uste,17,s,0.8157373000003645
46,43,1corr,1.0,1.0,rugobenza,sf,corr,1,l,0.7309050000003481
47,43,4rec,1.0,22.0,ceburenso,,rec,4,s,1.0075809999998455
48,43,14corr,1.0,14.0,slibadosto,hf,corr,14,l,0.8792914000000565
49,43,18corr,1.0,18.0,pobedepre,lf,corr,18,l,0.8106748000000152
50,43,32lf,,,mernideffo,,tsue,32,s,0.6523603999999068
51,43,15corr,1.0,15.0,cridolinna,lf,corr,15,l,0.7981200999997782
52,43,37hf,,,slibadempo,,tsue,37,s,0.6207499000001917
53,43,3rec,1.0,21.0,mudegenza,,rec,3,s,0.7694590000000971
54,43,16rec,1.0,34.0,cevecogno,,rec,16,s,0.6685599999996157
55,43,37lf,,,slibadirpe,,tsue,37,s,0.6242290000000139
56,43,5rec,1.0,23.0,vutuvolmo,,rec,5,s,1.5173033000000942
57,43,3lfUsTe,,,pecupiaba,,uste,3,s,0.5854755999998815
58,43,35hf,,,dorguvome,,tsue,35,s,0.7536743999999089
59,43,11corr,1.0,11.0,mernidallo,hf,corr,11,l,1.104955300000256
