,sbj_id,id_rmt,rot,target_complexity,simple_id,target,distractor_type,id,ans,rt
0,55,6corr,1.0,6.0,tobufolmo,lf,corr,6,s,1.8534952999998495
1,55,13corr,1.0,13.0,dorguvario,sf,corr,13,l,1.4535966999992525
2,55,10corr,1.0,10.0,cribotista,sf,corr,10,s,2.208498499999223
3,55,3lf,,,rugoberpe,,tsue,3,s,2.014168200000313
4,55,2rec,1.0,20.0,zudulespa,,rec,2,s,1.8385815999999977
5,55,21hfUsTe,,,bepolondo,,uste,21,s,1.515739699999358
6,55,44lfUsTe,,,zupelasio,,uste,44,l,1.9527091999998447
7,55,3lfUsTe,,,pecupiaba,,uste,3,s,2.255891900000279
8,55,12corr,1.0,12.0,pubbanasio,lf,corr,12,l,1.180881799999952
9,55,6hfUsTe,,,rabegenso,,uste,6,l,1.8059714999999414
10,55,35hfUsTe,,,vilucento,,uste,35,s,2.350866299999325
11,55,5rec,1.0,23.0,vutuvolmo,,rec,5,s,2.113112600000022
12,55,8lf,,,zuduleffo,,tsue,8,s,1.5537144999998418
13,55,8hf,,,zudulusto,,tsue,8,s,1.5156047000000399
14,55,13rec,1.0,31.0,dorguvosto,,rec,13,l,1.5670259000007718
15,55,17rec,1.0,35.0,vugipepre,,rec,17,l,2.4121900000000096
16,55,7rec,1.0,25.0,clivunento,,rec,7,s,1.6158839999998236
17,55,3hf,,,rugobome,,tsue,3,l,3.3554442999993626
18,55,15rec,1.0,33.0,cridolario,,rec,15,l,2.3040444999996907
19,55,8rec,1.0,26.0,vicraziaba,,rec,8,s,1.8692497000001822
20,55,3rec,1.0,21.0,mudegenza,,rec,3,l,1.551030499999797
21,55,10rec,1.0,28.0,cribotallo,,rec,10,l,2.1757469000003766
22,55,34lf,,,dorguvebo,,tsue,34,l,2.160507599999619
23,55,3corr,1.0,3.0,mudegespa,lf,corr,3,l,2.3190589000005275
24,55,17corr,1.0,17.0,vugipogno,hf,corr,17,l,1.6462737000001653
25,55,34suff,,,dorguviera,,tsue,34,l,2.446490000000267
26,55,15corr,1.0,15.0,cridolinna,lf,corr,15,l,1.5520298999999795
27,55,29hf,,,mernidempo,,tsue,29,s,1.4092685000005076
28,55,1corr,1.0,1.0,rugobenza,sf,corr,1,l,0.8298969000006764
29,55,1rec,1.0,19.0,rugobondo,,rec,1,l,1.7445058000002973
30,55,16rec,1.0,34.0,cevecogno,,rec,16,s,1.423305999999684
31,55,9rec,1.0,27.0,cettobiere,,rec,9,s,1.2791736999997738
32,55,8corr,1.0,8.0,vicrazento,hf,corr,8,l,1.9193003999998837
33,55,2corr,1.0,2.0,zudulondo,hf,corr,2,l,2.3204130000003715
34,55,5lfUsTe,,,rabegespa,,uste,5,l,2.736527600000045
35,55,8suff,,,zuduloso,,tsue,8,s,1.1498603999998522
36,55,29suff,,,mernidico,,tsue,29,s,1.3239370999999664
37,55,18rec,1.0,36.0,pobedismo,,rec,18,s,2.098519500000293
38,55,3suff,,,rugoborio,,tsue,3,s,1.9022801000000982
39,55,14corr,1.0,14.0,slibadosto,hf,corr,14,l,2.8784692999997787
40,55,7corr,1.0,7.0,clivuniere,sf,corr,7,l,1.073059899999862
41,55,16hfUsTe,,,fodavallo,,uste,16,s,1.792947799999638
42,55,31suffUsTe,,,necibiere,,uste,31,s,1.0875695999993695
43,55,4rec,1.0,22.0,ceburenso,,rec,4,s,3.2907883999996557
44,55,38suffUsTe,,,sacupizia,,uste,38,s,1.2785475000000588
45,55,5corr,1.0,5.0,vutuvenso,hf,corr,5,l,1.263070300000436
46,55,16corr,1.0,16.0,cevecismo,sf,corr,16,l,0.9242303999999422
47,55,14rec,1.0,32.0,slobadinna,,rec,14,l,4.0478171000004295
48,55,11rec,1.0,29.0,mernidasio,,rec,11,s,4.380259000000478
49,55,18corr,1.0,18.0,pobedepre,lf,corr,18,s,4.141053600000305
50,55,12rec,1.0,30.0,pubbanista,,rec,12,l,1.0232524999992165
51,55,13suffUsTe,,,fodavenza,,uste,13,s,3.4740151000005426
52,55,9corr,1.0,9.0,cettobiaba,lf,corr,9,l,1.4552144000008411
53,55,26lfUsTe,,,zicavolmo,,uste,26,s,1.7398788999998942
54,55,48suffUsTe,,,pitucista,,uste,48,s,1.4086255999991408
55,55,29lf,,,mernidirpe,,tsue,29,s,2.0305599000002985
56,55,4corr,1.0,4.0,ceburizia,sf,corr,4,l,1.1529418000009173
57,55,34hf,,,dorguvoppo,,tsue,34,s,2.4291809999995166
58,55,6rec,1.0,24.0,tobufizia,,rec,6,s,1.5174977000006038
59,55,11corr,1.0,11.0,mernidallo,hf,corr,11,l,1.9525385000015376
