,sbj_id,id_rmt,rot,target_complexity,simple_id,target,distractor_type,id,ans,rt
0,32,5corr,2.0,5.0,vutuvolmo,lf,corr,5,l,1.135198500000115
1,32,14corr,2.0,14.0,slobadinna,lf,corr,14,l,1.2104276000000027
2,32,10corr,2.0,10.0,cribotallo,hf,corr,10,l,1.0564383000000817
3,32,2rec,2.0,20.0,zudulenza,,rec,2,s,2.7179380999996283
4,32,38lf,,,slibadebo,,tsue,38,s,2.065560199999709
5,32,16corr,2.0,16.0,cevecogno,hf,corr,16,l,1.7440624999999272
6,32,14rec,2.0,32.0,slibadario,,rec,14,s,0.8632605000002513
7,32,2corr,2.0,2.0,zudulespa,lf,corr,2,l,0.8016625000000204
8,32,28lf,,,cridoleffo,,tsue,28,s,0.9447807999995348
9,32,3corr,2.0,3.0,mudegenza,sf,corr,3,l,0.9101861999997709
10,32,7corr,2.0,7.0,clivunento,hf,corr,7,l,1.102698099999543
11,32,3rec,2.0,21.0,mudegondo,,rec,3,l,1.836350599999605
12,32,15rec,2.0,33.0,cridolosto,,rec,15,s,0.7854731000006723
13,32,4rec,2.0,22.0,ceburolmo,,rec,4,s,1.678405599999678
14,32,4corr,2.0,4.0,ceburenso,hf,corr,4,l,3.45176790000005
15,32,16rec,2.0,34.0,cevecepre,,rec,16,s,0.9112601999995604
16,32,13rec,2.0,31.0,dorguvinna,,rec,13,s,2.160306699999637
17,32,6rec,2.0,24.0,tobufenso,,rec,6,s,0.975100100000418
18,32,28suff,,,cridoloso,,tsue,28,s,1.215907500000867
19,32,1corr,2.0,1.0,rugobondo,hf,corr,1,l,1.1507351000000199
20,32,17rec,2.0,35.0,vugipismo,,rec,17,s,1.5961420000003272
21,32,9corr,2.0,9.0,cettobiere,sf,corr,9,l,0.9094783999998981
22,32,44hfUsTe,,,zupelallo,,uste,44,s,0.9731215000001612
23,32,38hf,,,slibadoppo,,tsue,38,s,1.3743875000000116
24,32,7hfUsTe,,,rabegento,,uste,7,s,1.181399699999929
25,32,13corr,2.0,13.0,dorguvosto,hf,corr,13,l,0.8320795999998154
26,32,1rec,2.0,19.0,rugobespa,,rec,1,s,0.9721857000004093
27,32,27suff,,,cridolorio,,tsue,27,s,1.0862330999998449
28,32,11rec,2.0,29.0,mernidista,,rec,11,s,1.1530988000004072
29,32,8suffUsTe,,,rabegista,,uste,8,s,1.006214
30,32,11corr,2.0,11.0,mernidasio,lf,corr,11,l,0.9251415999997334
31,32,9lf,,,ceburirpe,,tsue,9,s,0.8964642000000822
32,32,17hfUsTe,,,rogipondo,,uste,17,s,1.0704383000002053
33,32,17corr,2.0,17.0,vugipepre,lf,corr,17,l,0.9909503999997469
34,32,18rec,2.0,36.0,pobedogno,,rec,18,s,1.7881680000000415
35,32,28hf,,,cridolusto,,tsue,28,s,0.8902101999992738
36,32,6corr,2.0,6.0,tobufizia,sf,corr,6,l,0.9276460999999472
37,32,15corr,2.0,15.0,cridolario,sf,corr,15,l,3.0351690000006784
38,32,38suff,,,slibadiera,,tsue,38,s,0.7027400999995734
39,32,38lfUsTe,,,sacupolmo,,uste,38,s,0.8311618000007002
40,32,10rec,2.0,28.0,cribotasio,,rec,10,s,4.460186100000101
41,32,28lfUsTe,,,zicavasio,,uste,28,s,0.7521409000000858
42,32,18corr,2.0,18.0,pobedismo,sf,corr,18,l,0.7841050999995787
43,32,12corr,2.0,12.0,pubbanista,sf,corr,12,l,0.9096405999998751
44,32,8corr,2.0,8.0,vicraziaba,lf,corr,8,l,0.8311395999999149
45,32,27hf,,,cridolome,,tsue,27,s,1.03503450000062
46,32,26hfUsTe,,,zicavenso,,uste,26,s,0.8628566000006685
47,32,23lfUsTe,,,bepoliaba,,uste,23,s,0.8642394999997123
48,32,9rec,2.0,27.0,cettobento,,rec,9,s,1.1535908999994717
49,32,31suffUsTe,,,necibiere,,uste,31,s,0.8784913999998025
50,32,5rec,2.0,23.0,vutuvizia,,rec,5,s,0.9292324000007284
51,32,9hf,,,ceburempo,,tsue,9,s,1.5647795999993832
52,32,27lf,,,cridolerpe,,tsue,27,s,0.7518308000007892
53,32,12rec,2.0,30.0,pubbanallo,,rec,12,s,0.8472681999992346
54,32,10suffUsTe,,,gabivizia,,uste,10,s,0.9746506999999838
55,32,7rec,2.0,25.0,"clivuniaba,",,rec,7,s,1.1532461999995576
56,32,33suffUsTe,,,vilucenza,,uste,33,s,1.3262499000002208
57,32,8rec,2.0,26.0,vicraziere,,rec,8,s,1.9978069999997388
58,32,9suff,,,ceburico,,tsue,9,s,1.0680897000002005
59,32,33lfUsTe,,,vilucespa,,uste,33,s,1.1807914999999412
